@relation ENB2012_data-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute Y1 numeric

@data
0.055556,0.916667,0.571429,1,0,0,0,0,0.130493
0.055556,0.916667,0.571429,1,0,0.333333,0,0,0.122135
0.055556,0.916667,0.571429,1,0,0.666667,0,0,0.128336
0.055556,0.916667,0.571429,1,0,1,0,0,0.122675
0,1,0.714286,1,0,0,0,0,0.06983
0,1,0.714286,1,0,0.333333,0,0,0.066864
0,1,0.714286,1,0,0.666667,0,0,0.065786
0,1,0.714286,1,0,1,0,0,0.067134
1,0,0.285714,0,1,0,0.25,0.2,0.500674
1,0,0.285714,0,1,0.333333,0.25,0.2,0.502022
1,0,0.285714,0,1,0.666667,0.25,0.2,0.502022
1,0,0.285714,0,1,1,0.25,0.2,0.500944
0.777778,0.166667,0.428571,0.111111,1,0,0.25,0.2,0.620652
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.25,0.2,0.6433
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.25,0.2,0.623618
0.777778,0.166667,0.428571,0.111111,1,1,0.25,0.2,0.595309
0.666667,0.25,0.285714,0.333333,1,0,0.25,0.2,0.546508
0.666667,0.25,0.285714,0.333333,1,0.333333,0.25,0.2,0.563494
0.666667,0.25,0.285714,0.333333,1,0.666667,0.25,0.2,0.548935
0.666667,0.25,0.285714,0.333333,1,1,0.25,0.2,0.519277
0.555556,0.333333,0.428571,0.333333,1,0,0.25,0.2,0.472365
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.25,0.2,0.485845
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.25,0.2,0.472634
0.555556,0.333333,0.428571,0.333333,1,1,0.25,0.2,0.446751
0.472222,0.416667,0.571429,0.333333,1,0,0.25,0.2,0.796711
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.25,0.2,0.838771
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.25,0.2,0.832839
0.472222,0.416667,0.571429,0.333333,1,1,0.25,0.2,0.806956
0.388889,0.5,1,0.111111,1,0,0.25,0.2,0.726611
0.388889,0.5,1,0.111111,1,0.333333,0.25,0.2,0.703963
0.388889,0.5,1,0.111111,1,0.666667,0.25,0.2,0.726072
0.388889,0.5,1,0.111111,1,1,0.25,0.2,0.70639
0.333333,0.583333,0,1,0,0,0.25,0.2,0.117282
0.333333,0.583333,0,1,0,0.333333,0.25,0.2,0.11917
0.333333,0.583333,0,1,0,0.666667,0.25,0.2,0.117282
0.333333,0.583333,0,1,0,1,0.25,0.2,0.118091
0.25,0.666667,0.142857,1,0,0,0.25,0.2,0.126719
0.25,0.666667,0.142857,1,0,0.333333,0.25,0.2,0.129145
0.25,0.666667,0.142857,1,0,0.666667,0.25,0.2,0.126449
0.25,0.666667,0.142857,1,0,1,0.25,0.2,0.127797
0.194444,0.75,0.285714,1,0,0,0.25,0.2,0.137503
0.194444,0.75,0.285714,1,0,0.333333,0.25,0.2,0.138043
0.194444,0.75,0.285714,1,0,0.666667,0.25,0.2,0.136964
0.194444,0.75,0.285714,1,0,1,0.25,0.2,0.138851
0.111111,0.833333,0.428571,1,0,0,0.25,0.2,0.152871
0.111111,0.833333,0.428571,1,0,0.333333,0.25,0.2,0.153141
0.111111,0.833333,0.428571,1,0,0.666667,0.25,0.2,0.153411
0.111111,0.833333,0.428571,1,0,1,0.25,0.2,0.153141
0.055556,0.916667,0.571429,1,0,0,0.25,0.2,0.253438
0.055556,0.916667,0.571429,1,0,0.333333,0.25,0.2,0.247776
0.055556,0.916667,0.571429,1,0,0.666667,0.25,0.2,0.253707
0.055556,0.916667,0.571429,1,0,1,0.25,0.2,0.248045
0,1,0.714286,1,0,0,0.25,0.2,0.187382
0,1,0.714286,1,0,0.333333,0.25,0.2,0.187652
0,1,0.714286,1,0,0.666667,0.25,0.2,0.186573
0,1,0.714286,1,0,1,0.25,0.2,0.189
1,0,0.285714,0,1,0,0.25,0.4,0.492855
1,0,0.285714,0,1,0.333333,0.25,0.4,0.493394
1,0,0.285714,0,1,0.666667,0.25,0.4,0.488541
1,0,0.285714,0,1,1,0.25,0.4,0.491777
0.777778,0.166667,0.428571,0.111111,1,0,0.25,0.4,0.616608
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.25,0.4,0.638177
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.25,0.4,0.61526
0.777778,0.166667,0.428571,0.111111,1,1,0.25,0.4,0.590186
0.666667,0.25,0.285714,0.333333,1,0,0.25,0.4,0.551901
0.666667,0.25,0.285714,0.333333,1,0.333333,0.25,0.4,0.56646
0.666667,0.25,0.285714,0.333333,1,0.666667,0.25,0.4,0.547857
0.666667,0.25,0.285714,0.333333,1,1,0.25,0.4,0.521704
0.555556,0.333333,0.428571,0.333333,1,0,0.25,0.4,0.478296
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.25,0.4,0.491238
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.25,0.4,0.476139
0.555556,0.333333,0.428571,0.333333,1,1,0.25,0.4,0.452413
0.472222,0.416667,0.571429,0.333333,1,0,0.25,0.4,0.799137
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.25,0.4,0.842545
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.25,0.4,0.834726
0.472222,0.416667,0.571429,0.333333,1,1,0.25,0.4,0.809383
0.388889,0.5,1,0.111111,1,0,0.25,0.4,0.732003
0.388889,0.5,1,0.111111,1,0.333333,0.25,0.4,0.711513
0.388889,0.5,1,0.111111,1,0.666667,0.25,0.4,0.730925
0.388889,0.5,1,0.111111,1,1,0.25,0.4,0.711782
0.333333,0.583333,0,1,0,0,0.25,0.4,0.1189
0.333333,0.583333,0,1,0,0.333333,0.25,0.4,0.119978
0.333333,0.583333,0,1,0,0.666667,0.25,0.4,0.116204
0.333333,0.583333,0,1,0,1,0.25,0.4,0.119709
0.25,0.666667,0.142857,1,0,0,0.25,0.4,0.124831
0.25,0.666667,0.142857,1,0,0.333333,0.25,0.4,0.126988
0.25,0.666667,0.142857,1,0,0.666667,0.25,0.4,0.122405
0.25,0.666667,0.142857,1,0,1,0.25,0.4,0.12591
0.194444,0.75,0.285714,1,0,0,0.25,0.4,0.14667
0.194444,0.75,0.285714,1,0,0.333333,0.25,0.4,0.14694
0.194444,0.75,0.285714,1,0,0.666667,0.25,0.4,0.143165
0.194444,0.75,0.285714,1,0,1,0.25,0.4,0.147749
0.111111,0.833333,0.428571,1,0,0,0.25,0.4,0.14667
0.111111,0.833333,0.428571,1,0,0.333333,0.25,0.4,0.145861
0.111111,0.833333,0.428571,1,0,0.666667,0.25,0.4,0.143435
0.111111,0.833333,0.428571,1,0,1,0.25,0.4,0.146131
0.055556,0.916667,0.571429,1,0,0,0.25,0.4,0.253438
0.055556,0.916667,0.571429,1,0,0.333333,0.25,0.4,0.247236
0.055556,0.916667,0.571429,1,0,0.666667,0.25,0.4,0.25155
0.055556,0.916667,0.571429,1,0,1,0.25,0.4,0.247506
0,1,0.714286,1,0,0,0.25,0.4,0.185225
0,1,0.714286,1,0,0.333333,0.25,0.4,0.188461
0,1,0.714286,1,0,0.666667,0.25,0.4,0.187652
0,1,0.714286,1,0,1,0.25,0.4,0.189539
1,0,0.285714,0,1,0,0.25,0.6,0.492586
1,0,0.285714,0,1,0.333333,0.25,0.6,0.495821
1,0,0.285714,0,1,0.666667,0.25,0.6,0.488002
1,0,0.285714,0,1,1,0.25,0.6,0.494473
0.777778,0.166667,0.428571,0.111111,1,0,0.25,0.6,0.594769
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.25,0.6,0.620113
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.25,0.6,0.63656
0.777778,0.166667,0.428571,0.111111,1,1,0.25,0.6,0.621192
0.666667,0.25,0.285714,0.333333,1,0,0.25,0.6,0.523052
0.666667,0.25,0.285714,0.333333,1,0.333333,0.25,0.6,0.551631
0.666667,0.25,0.285714,0.333333,1,0.666667,0.25,0.6,0.562955
0.666667,0.25,0.285714,0.333333,1,1,0.25,0.6,0.551362
0.555556,0.333333,0.428571,0.333333,1,0,0.25,0.6,0.456188
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.25,0.6,0.480723
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.25,0.6,0.48962
0.555556,0.333333,0.428571,0.333333,1,1,0.25,0.6,0.481531
0.472222,0.416667,0.571429,0.333333,1,0,0.25,0.6,0.802642
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.25,0.6,0.794554
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.25,0.6,0.834726
0.472222,0.416667,0.571429,0.333333,1,1,0.25,0.6,0.827447
0.388889,0.5,1,0.111111,1,0,0.25,0.6,0.714748
0.388889,0.5,1,0.111111,1,0.333333,0.25,0.6,0.735239
0.388889,0.5,1,0.111111,1,0.666667,0.25,0.6,0.709625
0.388889,0.5,1,0.111111,1,1,0.25,0.6,0.73416
0.333333,0.583333,0,1,0,0,0.25,0.6,0.118091
0.333333,0.583333,0,1,0,0.333333,0.25,0.6,0.116743
0.333333,0.583333,0,1,0,0.666667,0.25,0.6,0.117013
0.333333,0.583333,0,1,0,1,0.25,0.6,0.117822
0.25,0.666667,0.142857,1,0,0,0.25,0.6,0.128336
0.25,0.666667,0.142857,1,0,0.333333,0.25,0.6,0.12591
0.25,0.666667,0.142857,1,0,0.666667,0.25,0.6,0.12591
0.25,0.666667,0.142857,1,0,1,0.25,0.6,0.126449
0.194444,0.75,0.285714,1,0,0,0.25,0.6,0.140469
0.194444,0.75,0.285714,1,0,0.333333,0.25,0.6,0.138851
0.194444,0.75,0.285714,1,0,0.666667,0.25,0.6,0.137234
0.194444,0.75,0.285714,1,0,1,0.25,0.6,0.138312
0.111111,0.833333,0.428571,1,0,0,0.25,0.6,0.150445
0.111111,0.833333,0.428571,1,0,0.333333,0.25,0.6,0.150714
0.111111,0.833333,0.428571,1,0,0.666667,0.25,0.6,0.148827
0.111111,0.833333,0.428571,1,0,1,0.25,0.6,0.150984
0.055556,0.916667,0.571429,1,0,0,0.25,0.6,0.246697
0.055556,0.916667,0.571429,1,0,0.333333,0.25,0.6,0.25209
0.055556,0.916667,0.571429,1,0,0.666667,0.25,0.6,0.245619
0.055556,0.916667,0.571429,1,0,1,0.25,0.6,0.25209
0,1,0.714286,1,0,0,0.25,0.6,0.179833
0,1,0.714286,1,0,0.333333,0.25,0.6,0.178485
0,1,0.714286,1,0,0.666667,0.25,0.6,0.180642
0,1,0.714286,1,0,1,0.25,0.6,0.181181
1,0,0.285714,0,1,0,0.25,0.8,0.495282
1,0,0.285714,0,1,0.333333,0.25,0.8,0.491238
1,0,0.285714,0,1,0.666667,0.25,0.8,0.486115
1,0,0.285714,0,1,1,0.25,0.8,0.493664
0.777778,0.166667,0.428571,0.111111,1,0,0.25,0.8,0.621461
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.25,0.8,0.59423
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.25,0.8,0.616069
0.777778,0.166667,0.428571,0.111111,1,1,0.25,0.8,0.641143
0.666667,0.25,0.285714,0.333333,1,0,0.25,0.8,0.550822
0.666667,0.25,0.285714,0.333333,1,0.333333,0.25,0.8,0.521974
0.666667,0.25,0.285714,0.333333,1,0.666667,0.25,0.8,0.547857
0.666667,0.25,0.285714,0.333333,1,1,0.25,0.8,0.56673
0.555556,0.333333,0.428571,0.333333,1,0,0.25,0.8,0.479644
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.25,0.8,0.452683
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.25,0.8,0.473982
0.555556,0.333333,0.428571,0.333333,1,1,0.25,0.8,0.491507
0.472222,0.416667,0.571429,0.333333,1,0,0.25,0.8,0.831761
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.25,0.8,0.805608
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.25,0.8,0.793745
0.472222,0.416667,0.571429,0.333333,1,1,0.25,0.8,0.838231
0.388889,0.5,1,0.111111,1,0,0.25,0.8,0.729846
0.388889,0.5,1,0.111111,1,0.333333,0.25,0.8,0.710973
0.388889,0.5,1,0.111111,1,0.666667,0.25,0.8,0.730116
0.388889,0.5,1,0.111111,1,1,0.25,0.8,0.709086
0.333333,0.583333,0,1,0,0,0.25,0.8,0.109733
0.333333,0.583333,0,1,0,0.333333,0.25,0.8,0.11162
0.333333,0.583333,0,1,0,0.666667,0.25,0.8,0.109463
0.333333,0.583333,0,1,0,1,0.25,0.8,0.111351
0.25,0.666667,0.142857,1,0,0,0.25,0.8,0.125371
0.25,0.666667,0.142857,1,0,0.333333,0.25,0.8,0.12591
0.25,0.666667,0.142857,1,0,0.666667,0.25,0.8,0.121866
0.25,0.666667,0.142857,1,0,1,0.25,0.8,0.126988
0.194444,0.75,0.285714,1,0,0,0.25,0.8,0.139391
0.194444,0.75,0.285714,1,0,0.333333,0.25,0.8,0.140469
0.194444,0.75,0.285714,1,0,0.666667,0.25,0.8,0.136425
0.194444,0.75,0.285714,1,0,1,0.25,0.8,0.13993
0.111111,0.833333,0.428571,1,0,0,0.25,0.8,0.146401
0.111111,0.833333,0.428571,1,0,0.333333,0.25,0.8,0.145861
0.111111,0.833333,0.428571,1,0,0.666667,0.25,0.8,0.143435
0.111111,0.833333,0.428571,1,0,1,0.25,0.8,0.146131
0.055556,0.916667,0.571429,1,0,0,0.25,0.8,0.253168
0.055556,0.916667,0.571429,1,0,0.333333,0.25,0.8,0.247506
0.055556,0.916667,0.571429,1,0,0.666667,0.25,0.8,0.251011
0.055556,0.916667,0.571429,1,0,1,0.25,0.8,0.246697
0,1,0.714286,1,0,0,0.25,0.8,0.184416
0,1,0.714286,1,0,0.333333,0.25,0.8,0.189539
0,1,0.714286,1,0,0.666667,0.25,0.8,0.188461
0,1,0.714286,1,0,1,0.25,0.8,0.188461
1,0,0.285714,0,1,0,0.25,1,0.494473
1,0,0.285714,0,1,0.333333,0.25,1,0.493934
1,0,0.285714,0,1,0.666667,0.25,1,0.485845
1,0,0.285714,0,1,1,0.25,1,0.492046
0.777778,0.166667,0.428571,0.111111,1,0,0.25,1,0.642222
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.25,1,0.622001
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.25,1,0.593691
0.777778,0.166667,0.428571,0.111111,1,1,0.25,1,0.620383
0.666667,0.25,0.285714,0.333333,1,0,0.25,1,0.56673
0.666667,0.25,0.285714,0.333333,1,0.333333,0.25,1,0.551092
0.666667,0.25,0.285714,0.333333,1,0.666667,0.25,1,0.521704
0.666667,0.25,0.285714,0.333333,1,1,0.25,1,0.551092
0.555556,0.333333,0.428571,0.333333,1,0,0.25,1,0.495012
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.25,1,0.482071
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.25,1,0.455109
0.555556,0.333333,0.428571,0.333333,1,1,0.25,1,0.481262
0.472222,0.416667,0.571429,0.333333,1,0,0.25,1,0.836344
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.25,1,0.827716
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.25,1,0.829334
0.472222,0.416667,0.571429,0.333333,1,1,0.25,1,0.794554
0.388889,0.5,1,0.111111,1,0,0.25,1,0.709086
0.388889,0.5,1,0.111111,1,0.333333,0.25,1,0.733351
0.388889,0.5,1,0.111111,1,0.666667,0.25,1,0.71313
0.388889,0.5,1,0.111111,1,1,0.25,1,0.734969
0.333333,0.583333,0,1,0,0,0.25,1,0.120248
0.333333,0.583333,0,1,0,0.333333,0.25,1,0.117552
0.333333,0.583333,0,1,0,0.666667,0.25,1,0.116743
0.333333,0.583333,0,1,0,1,0.25,1,0.118091
0.25,0.666667,0.142857,1,0,0,0.25,1,0.128606
0.25,0.666667,0.142857,1,0,0.333333,0.25,1,0.126449
0.25,0.666667,0.142857,1,0,0.666667,0.25,1,0.12564
0.25,0.666667,0.142857,1,0,1,0.25,1,0.207064
0.194444,0.75,0.285714,1,0,0,0.25,1,0.1402
0.194444,0.75,0.285714,1,0,0.333333,0.25,1,0.138312
0.194444,0.75,0.285714,1,0,0.666667,0.25,1,0.137503
0.194444,0.75,0.285714,1,0,1,0.25,1,0.138851
0.111111,0.833333,0.428571,1,0,0,0.25,1,0.144783
0.111111,0.833333,0.428571,1,0,0.333333,0.25,1,0.143705
0.111111,0.833333,0.428571,1,0,0.666667,0.25,1,0.140469
0.111111,0.833333,0.428571,1,0,1,0.25,1,0.143705
0.055556,0.916667,0.571429,1,0,0,0.25,1,0.246697
0.055556,0.916667,0.571429,1,0,0.333333,0.25,1,0.252359
0.055556,0.916667,0.571429,1,0,0.666667,0.25,1,0.245619
0.055556,0.916667,0.571429,1,0,1,0.25,1,0.25209
0,1,0.714286,1,0,0,0.25,1,0.177406
0,1,0.714286,1,0,0.333333,0.25,1,0.181451
0,1,0.714286,1,0,0.666667,0.25,1,0.183068
0,1,0.714286,1,0,1,0.25,1,0.178215
1,0,0.285714,0,1,0,0.625,0.2,0.596926
1,0,0.285714,0,1,0.333333,0.625,0.2,0.596926
1,0,0.285714,0,1,0.666667,0.625,0.2,0.602858
1,0,0.285714,0,1,1,0.625,0.2,0.603936
0.777778,0.166667,0.428571,0.111111,1,0,0.625,0.2,0.719062
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.625,0.2,0.740631
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.625,0.2,0.723376
0.777778,0.166667,0.428571,0.111111,1,1,0.625,0.2,0.700728
0.666667,0.25,0.285714,0.333333,1,0,0.625,0.2,0.634403
0.666667,0.25,0.285714,0.333333,1,0.333333,0.625,0.2,0.648153
0.666667,0.25,0.285714,0.333333,1,0.666667,0.625,0.2,0.63602
0.666667,0.25,0.285714,0.333333,1,1,0.625,0.2,0.610677
0.555556,0.333333,0.428571,0.333333,1,0,0.625,0.2,0.561607
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.625,0.2,0.5732
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.625,0.2,0.565112
0.555556,0.333333,0.428571,0.333333,1,1,0.625,0.2,0.544082
0.472222,0.416667,0.571429,0.333333,1,0,0.625,0.2,0.880561
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.625,0.2,0.917228
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.625,0.2,0.912645
0.472222,0.416667,0.571429,0.333333,1,1,0.625,0.2,0.890537
0.388889,0.5,1,0.111111,1,0,0.625,0.2,0.834457
0.388889,0.5,1,0.111111,1,0.333333,0.625,0.2,0.812079
0.388889,0.5,1,0.111111,1,0.666667,0.625,0.2,0.833109
0.388889,0.5,1,0.111111,1,1,0.625,0.2,0.820167
0.333333,0.583333,0,1,0,0,0.625,0.2,0.173092
0.333333,0.583333,0,1,0,0.333333,0.625,0.2,0.17498
0.333333,0.583333,0,1,0,0.666667,0.625,0.2,0.172553
0.333333,0.583333,0,1,0,1,0.625,0.2,0.173632
0.25,0.666667,0.142857,1,0,0,0.625,0.2,0.176867
0.25,0.666667,0.142857,1,0,0.333333,0.625,0.2,0.179024
0.25,0.666667,0.142857,1,0,0.666667,0.625,0.2,0.176867
0.25,0.666667,0.142857,1,0,1,0.625,0.2,0.178485
0.194444,0.75,0.285714,1,0,0,0.625,0.2,0.182529
0.194444,0.75,0.285714,1,0,0.333333,0.625,0.2,0.186573
0.194444,0.75,0.285714,1,0,0.666667,0.625,0.2,0.181181
0.194444,0.75,0.285714,1,0,1,0.625,0.2,0.180911
0.111111,0.833333,0.428571,1,0,0,0.625,0.2,0.193044
0.111111,0.833333,0.428571,1,0,0.333333,0.625,0.2,0.193314
0.111111,0.833333,0.428571,1,0,0.666667,0.625,0.2,0.193044
0.111111,0.833333,0.428571,1,0,1,0.625,0.2,0.193314
0.055556,0.916667,0.571429,1,0,0,0.625,0.2,0.309787
0.055556,0.916667,0.571429,1,0,0.333333,0.625,0.2,0.305743
0.055556,0.916667,0.571429,1,0,0.666667,0.625,0.2,0.310326
0.055556,0.916667,0.571429,1,0,1,0.625,0.2,0.306282
0,1,0.714286,1,0,0,0.625,0.2,0.24481
0,1,0.714286,1,0,0.333333,0.625,0.2,0.245619
0,1,0.714286,1,0,0.666667,0.625,0.2,0.24454
0,1,0.714286,1,0,1,0.625,0.2,0.246697
1,0,0.285714,0,1,0,0.625,0.4,0.610946
1,0,0.285714,0,1,0.333333,0.625,0.4,0.60825
1,0,0.285714,0,1,0.666667,0.625,0.4,0.597735
1,0,0.285714,0,1,1,0.625,0.4,0.609059
0.777778,0.166667,0.428571,0.111111,1,0,0.625,0.4,0.71313
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.625,0.4,0.734969
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.625,0.4,0.709625
0.777778,0.166667,0.428571,0.111111,1,1,0.625,0.4,0.691561
0.666667,0.25,0.285714,0.333333,1,0,0.625,0.4,0.629011
0.666667,0.25,0.285714,0.333333,1,0.333333,0.625,0.4,0.6433
0.666667,0.25,0.285714,0.333333,1,0.666667,0.625,0.4,0.627123
0.666667,0.25,0.285714,0.333333,1,1,0.625,0.4,0.603667
0.555556,0.333333,0.428571,0.333333,1,0,0.625,0.4,0.531949
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.625,0.4,0.53842
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.625,0.4,0.522243
0.555556,0.333333,0.428571,0.333333,1,1,0.625,0.4,0.51038
0.472222,0.416667,0.571429,0.333333,1,0,0.625,0.4,0.877865
0.472222,0.416667,0.571429,0.333333,1,0.333333,0.625,0.4,0.921542
0.472222,0.416667,0.571429,0.333333,1,0.666667,0.625,0.4,0.915611
0.472222,0.416667,0.571429,0.333333,1,1,0.625,0.4,0.888919
0.388889,0.5,1,0.111111,1,0,0.625,0.4,0.834187
0.388889,0.5,1,0.111111,1,0.333333,0.625,0.4,0.816123
0.388889,0.5,1,0.111111,1,0.666667,0.625,0.4,0.831761
0.388889,0.5,1,0.111111,1,1,0.625,0.4,0.820706
0.333333,0.583333,0,1,0,0,0.625,0.4,0.170936
0.333333,0.583333,0,1,0,0.333333,0.625,0.4,0.173632
0.333333,0.583333,0,1,0,0.666667,0.625,0.4,0.165813
0.333333,0.583333,0,1,0,1,0.625,0.4,0.169587
0.25,0.666667,0.142857,1,0,0,0.625,0.4,0.170396
0.25,0.666667,0.142857,1,0,0.333333,0.625,0.4,0.169318
0.25,0.666667,0.142857,1,0,0.666667,0.625,0.4,0.166891
0.25,0.666667,0.142857,1,0,1,0.625,0.4,0.17471
0.194444,0.75,0.285714,1,0,0,0.625,0.4,0.184416
0.194444,0.75,0.285714,1,0,0.333333,0.625,0.4,0.184956
0.194444,0.75,0.285714,1,0,0.666667,0.625,0.4,0.181181
0.194444,0.75,0.285714,1,0,1,0.625,0.4,0.187112
0.111111,0.833333,0.428571,1,0,0,0.625,0.4,0.189809
0.111111,0.833333,0.428571,1,0,0.333333,0.625,0.4,0.186573
0.111111,0.833333,0.428571,1,0,0.666667,0.625,0.4,0.182259
0.111111,0.833333,0.428571,1,0,1,0.625,0.4,0.188461
0.055556,0.916667,0.571429,1,0,0,0.625,0.4,0.300081
0.055556,0.916667,0.571429,1,0,0.333333,0.625,0.4,0.291992
0.055556,0.916667,0.571429,1,0,0.666667,0.625,0.4,0.296846
0.055556,0.916667,0.571429,1,0,1,0.625,0.4,0.299272
0,1,0.714286,1,0,0,0.625,0.4,0.224589
0,1,0.714286,1,0,0.333333,0.625,0.4,0.233217
0,1,0.714286,1,0,0.666667,0.625,0.4,0.231599
0,1,0.714286,1,0,1,0.625,0.4,0.231599
1,0,0.285714,0,1,0,0.625,0.6,0.610946
1,0,0.285714,0,1,0.333333,0.625,0.6,0.607981
1,0,0.285714,0,1,0.666667,0.625,0.6,0.597466
1,0,0.285714,0,1,1,0.625,0.6,0.609868
0.777778,0.166667,0.428571,0.111111,1,0,0.625,0.6,0.690752
0.777778,0.166667,0.428571,0.111111,1,0.333333,0.625,0.6,0.711513
0.777778,0.166667,0.428571,0.111111,1,0.666667,0.625,0.6,0.719062
0.777778,0.166667,0.428571,0.111111,1,1,0.625,0.6,0.708547
0.666667,0.25,0.285714,0.333333,1,0,0.625,0.6,0.603667
0.666667,0.25,0.285714,0.333333,1,0.333333,0.625,0.6,0.630628
0.666667,0.25,0.285714,0.333333,1,0.666667,0.625,0.6,0.631437
0.666667,0.25,0.285714,0.333333,1,1,0.625,0.6,0.621731
0.555556,0.333333,0.428571,0.333333,1,0,0.625,0.6,0.503909
0.555556,0.333333,0.428571,0.333333,1,0.333333,0.625,0.6,0.524939
0.555556,0.333333,0.428571,0.333333,1,0.666667,0.625,0.6,0.521974
