@relation BreastTissue-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Class {car,fad,mas,gla,con,adi}
@attribute I0 numeric
@attribute PA500 numeric
@attribute HFS numeric
@attribute DA numeric
@attribute Area numeric
@attribute A/DA numeric
@attribute 'Max IP' numeric
@attribute DR numeric
@attribute P numeric

@data
car,0.147201,0.521191,0.488889,0.119795,0.017112,0.120133,0.206933,0.118573,0.150786
fad,0.040044,0.120081,0.300654,0.01064,0.000468,0.020596,0.014714,0.036989,0.033249
fad,0.0348,0.0222,0.294118,0.00857,0.000067,0.007842,0,0.037413,0.027338
fad,0.052651,0.510595,0.277124,0.04144,0.006683,0.111114,0.079843,0.056696,0.060397
fad,0.092568,0.316852,0.294118,0.046829,0.005709,0.085935,0.08344,0.06288,0.092998
fad,0.052019,0.079717,0.249673,0.046846,0.001798,0.024652,0.004724,0.078105,0.05003
fad,0.05817,0.168517,0.137255,0.036977,0.002263,0.039325,0.022278,0.066475,0.051428
fad,0.054505,0.160949,0.095425,0.03595,0.00334,0.060465,0.022909,0.065918,0.055322
fad,0.035966,0.073158,0.343791,0.021718,0.000862,0.022295,0.006323,0.050877,0.033575
fad,0.093437,0.149344,0.282353,0.066978,0.005524,0.061229,0.045766,0.097115,0.08914
fad,0.062662,0.228557,0.133333,0.04229,0.003718,0.059547,0.028302,0.070883,0.058429
fad,0.088476,0.230071,0.262745,0.062652,0.007456,0.089389,0.049191,0.090385,0.093864
fad,0.021254,0.475782,0.430065,0.016832,0.001556,0.046717,0.053536,0.030419,0.022582
fad,0.073528,0.281534,0.19085,0.043082,0.005002,0.079979,0.04923,0.067873,0.076053
fad,0.019281,0.463673,0.346405,0.018483,0.001976,0.05579,0.041734,0.038905,0.02159
fad,0.015202,0.312815,0.210458,0,0,0.01224,0.023736,0.017052,0.012771
mas,0.027809,0.458123,0.522876,0.020976,0.002402,0.062693,0.064884,0.030827,0.032807
mas,0.034112,0.366297,0.508497,0.017067,0.001479,0.04413,0.063193,0.022854,0.038826
mas,0.123134,0.18668,0.426144,0.099589,0.007292,0.05702,0.068708,0.128764,0.111208
mas,0.054505,0.100404,0.150327,0.049109,0.000881,0.009635,0.002647,0.080642,0.038714
mas,0.087693,0.095358,0.180392,0.066088,0.001494,0.01317,0.027694,0.098174,0.06596
mas,0.049314,0.32442,0.501961,0.027595,0.000954,0.02027,0.065489,0.042234,0.043291
mas,0.140329,0.191221,0.154248,0.056919,0.006215,0.080044,0.060636,0.081744,0.135992
mas,0.055247,0.270938,0.183007,0.018104,0.002427,0.069027,0.041044,0.038634,0.05617
mas,0.025775,0.331988,0.196078,0.017145,0.000698,0.02169,0.026518,0.042002,0.018024
mas,0.006674,0.467709,0.294118,0.004589,0.000425,0.026564,0.032822,0.020118,0.006057
mas,0.034618,0.492936,0.39085,0.03347,0.004431,0.085264,0.061151,0.052531,0.04148
mas,0.099146,0.266902,0.124183,0.092236,0.007096,0.059631,0.054652,0.123603,0.086953
mas,0.058316,0.192735,0.185621,0.037527,0.001186,0.019191,0.023124,0.066168,0.044611
mas,0.163758,0.148335,0.128105,0.077736,0.006415,0.062804,0.050086,0.107253,0.15456
mas,0.076752,0.469223,0.433987,0.075554,0.015312,0.161434,0.096604,0.095791,0.095251
mas,0.063772,0.389506,0.381699,0.044846,0.006576,0.102925,0.076801,0.062503,0.073091
mas,0.066119,0.635721,0.943791,0.132437,0.030014,0.196987,0.089729,0.162316,0.09883
mas,0.083055,0.371847,0.282353,0.054192,0.009141,0.124614,0.082341,0.072992,0.091746
gla,0.136269,0.332492,0.248366,0.125098,0.014836,0.099075,0.092476,0.153783,0.132232
gla,0.044494,0.322906,0.273203,0.012884,0.000726,0.026816,0.052522,0.022511,0.046004
gla,0.018168,0.443491,0.550327,0.01396,0.000137,0.007149,0.054447,0.023444,0.020072
gla,0.074156,0.147326,0.198693,0.002798,0.000184,0.018133,0.032378,0.015178,0.070958
gla,0.054505,0.215943,0.298039,0.009571,0.000633,0.027717,0.042448,0.023531,0.055976
gla,0.034854,0.347629,0.262745,0.013233,0.001945,0.065529,0.044435,0.02942,0.038536
gla,0.034854,0.347629,0.262745,0.013233,0.001945,0.065529,0.044435,0.02942,0.038536
gla,0.042052,0.304743,0.252288,0.032527,0.001204,0.022382,0.03462,0.058543,0.032614
gla,0.027809,0.396569,0.309804,0.019777,0.002316,0.062648,0.041931,0.040639,0.03038
gla,0.030404,0.397074,0.28366,0.019394,0.00167,0.045992,0.044127,0.039268,0.03074
gla,0.106785,0.13219,0.145098,0.015456,0.001116,0.035789,0.03308,0.037871,0.099587
gla,0.147942,0.152876,0.176471,0.032182,0.00438,0.086625,0.05924,0.051451,0.151198
gla,0.027067,0.224016,0.267974,0.000901,0.000053,0.014006,0.023959,0.019085,0.024179
gla,0.015573,0.304238,0.330719,0.001505,0.000069,0.014096,0.02881,0.015631,0.013542
gla,0.007834,0.34561,0.328105,0.000905,0.000045,0.013594,0.02451,0.018625,0.003577
gla,0,0.421292,0.670588,0.003935,0.000045,0.010455,0.033529,0.017611,0
con,0.601072,0.116549,0.084967,0.368347,0.017106,0.03669,0.148223,0.413911,0.492281
con,0.475589,0.23108,0.291503,0.175161,0.049966,0.257216,0.315612,0.154554,0.504989
con,0.363829,0.176589,0.124183,0.165023,0.016441,0.084408,0.136862,0.191771,0.338838
con,0.202584,0.274975,0.159477,0.179599,0.018772,0.089565,0.099453,0.212915,0.180015
con,0.517983,0.127649,0.218301,0.340536,0.026885,0.068274,0.164616,0.381086,0.436996
con,0.247312,0.084517,0.128741,0.148853,0.001581,0.002349,0.0403,0.184889,0.19116
con,0.202818,0.082745,0.396078,0.188891,0.002048,0.002315,0.060253,0.22641,0.145663
con,0.21838,0.039354,0.286275,0.163853,0.001341,0,0.037388,0.201073,0.169338
con,0.503801,0.08224,0.216993,0.356582,0.031555,0.07773,0.115065,0.402207,0.470436
con,0.516773,0.264379,0.278431,0.594589,0.063079,0.09661,0.234317,0.648869,0.380031
con,0.37405,0.249748,0.257516,0.351927,0.043514,0.112002,0.182319,0.391729,0.312455
con,0.43295,0.19223,0.247059,0.513228,0.020312,0.03022,0.142043,0.567824,0.277893
con,0.572836,0.198285,0.286275,0.533748,0.067554,0.116657,0.241672,0.582848,0.461068
con,0.531276,0.21998,0.132026,0.591785,0.0616,0.094608,0.207043,0.649996,0.387062
adi,0.740452,0.14329,0.039216,0.355276,0.095008,0.252469,0.275457,0.395114,0.70286
adi,0.629218,0.063068,0.203922,0.269606,0.024859,0.080256,0.139342,0.30667,0.58356
adi,0.740452,0.315843,0.831373,0.412825,0.204123,0.477471,1,0.124093,0.843004
adi,0.579588,0,0.233628,0.051048,0.007636,0.108515,0.102506,0.06876,0.585076
adi,0.592139,0.091322,0.321024,0.096768,0.070298,0.619214,0.26237,0,0.753066
adi,0.684508,0.113916,0.155079,0.144362,0.018013,0.106244,0.218361,0.14803,0.655357
adi,0.647757,0.192982,0.25426,0.224157,0.074782,0.308403,0.355257,0.208741,0.646559
adi,0.833148,0.199798,0.63268,0.474846,0.158754,0.321736,0.657743,0.44131,0.841642
adi,0.629218,0.230071,0.508497,0.328816,0.085724,0.244969,0.490189,0.303464,0.638145
adi,0.666296,0.121594,0.337255,0.242357,0.042493,0.159087,0.304558,0.24742,0.649277
adi,0.629218,0.163976,0.418301,0.350564,0.078902,0.210974,0.349429,0.365982,0.612661
adi,0.647757,0.176085,0.546405,0.292724,0.049163,0.153799,0.468948,0.262068,0.643381
adi,0.5736,0.101917,0.205229,0.244089,0.032994,0.120818,0.171141,0.275011,0.533298
adi,1,0.204339,0.469281,0.539965,0.179567,0.321403,0.678798,0.517117,1
adi,0.825673,0.155399,0.785621,0.342602,0.145052,0.404066,0.766369,0.183059,0.924179
adi,0.851687,0.207366,0.537255,0.552211,0.217125,0.381941,0.591827,0.552231,0.838068
adi,0.703374,0.158426,0.356863,0.297591,0.087785,0.276812,0.376589,0.296812,0.699268
adi,0.703374,0.273461,0.321569,0.479573,0.229445,0.464459,0.458088,0.494295,0.708496
adi,0.925844,0.543895,0.513725,1,1,1,0.959329,1,0.916294
adi,0.555061,0.172048,0,0.399788,0.072157,0.168441,0.223679,0.447287,0.487224
adi,0.814609,0.094349,0.380392,0.158842,0.028759,0.158987,0.398763,0.059638,0.84991
adi,0.925844,0.166498,0.215686,0.695374,0.228057,0.319152,0.341377,0.748499,0.8733
