@relation pop_failure-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute vconst_corr numeric
@attribute vconst_2 numeric
@attribute vconst_3 numeric
@attribute vconst_4 numeric
@attribute vconst_5 numeric
@attribute vconst_7 numeric
@attribute ah_corr numeric
@attribute ah_bolus numeric
@attribute slm_corr numeric
@attribute efficiency_factor numeric
@attribute tidal_mix_max numeric
@attribute vertical_decay_scale numeric
@attribute convect_corr numeric
@attribute bckgrnd_vdc1 numeric
@attribute bckgrnd_vdc_ban numeric
@attribute bckgrnd_vdc_eq numeric
@attribute bckgrnd_vdc_psim numeric
@attribute Prandtl numeric
@attribute class {0,1}

@data
0.029075,0.675903,0.023818,0.112343,0.834425,0.268611,0.937121,0.578007,0.729552,0.846577,0.41963,0.286033,0.783675,0.454724,0.450836,0.911639,0.827635,0.125775,1
0.294809,0.818491,0.548901,0.985515,0.475221,0.674026,0.194566,0.270438,0.453501,0.725234,0.653243,0.098246,0.369144,0.250227,0.426023,0.382203,0.77631,0.561917,1
0.484097,0.271748,0.287672,0.423926,0.826591,0.688548,0.314189,0.107072,0.762442,0.720745,0.98489,0.34525,0.144282,0.961796,0.020862,0.127286,0.978851,0.877795,1
0.774528,0.02816,0.501226,0.180243,0.50201,0.016745,0.683114,0.239569,0.695831,0.762544,0.118257,0.695323,0.489869,0.352577,0.527906,0.77965,0.30918,0.262625,1
0.420376,0.371103,0.7432,0.061337,0.188663,0.848492,0.874594,0.143781,0.153998,0.352695,0.392889,0.634858,0.790056,0.856099,0.602236,0.168351,0.534791,0.98785,1
0.531586,0.147323,0.344915,0.083544,0.737561,0.34599,0.168598,0.691612,0.094744,0.18184,0.371332,0.481182,0.507608,0.823695,0.146206,0.596803,0.371712,0.199704,1
0.304996,0.239492,0.831986,0.020105,0.999605,0.294926,0.71563,0.415998,0.923781,0.137795,0.06887,0.983673,0.205342,0.192231,0.501192,0.181525,0.691496,0.615903,1
0.249992,0.735134,0.939253,0.894845,0.235154,0.985229,0.53132,0.39887,0.193572,0.898491,0.735963,0.890967,0.980893,0.828387,0.442572,0.452794,0.770368,0.435868,1
0.384137,0.883973,0.028181,0.359038,0.357207,0.527551,0.031868,0.591517,0.135093,0.046251,0.662418,0.337987,0.305741,0.024319,0.030218,0.339385,0.576787,0.759766,1
0.715668,0.328256,0.576586,0.020417,0.384219,0.824969,0.716395,0.325484,0.856643,0.39761,0.835653,0.468422,0.003526,0.681615,0.113683,0.567194,0.559496,0.802996,1
0.679011,0.114171,0.529501,0.187208,0.418164,0.333965,0.134501,0.12012,0.532576,0.967734,0.158408,0.475215,0.142175,0.162203,0.809612,0.770714,0.936669,0.402317,1
0.743182,0.420028,0.432055,0.687273,0.0423,0.041487,0.987829,0.86967,0.413375,0.529953,0.422453,0.181826,0.89952,0.729197,0.15772,0.877461,0.619299,0.218238,1
0.014302,0.945582,0.24529,0.681559,0.967995,0.450817,0.591838,0.272682,0.677357,0.756318,0.619746,0.911224,0.703462,0.763166,0.376805,0.478001,0.352676,0.328039,1
0.198312,0.43548,0.669033,0.998275,0.108438,0.034556,0.261368,0.994012,0.70169,0.409697,0,0.309441,0.733099,0.698905,0.142817,0.249735,0.129009,0.823628,1
0.493025,0.235707,0.637555,0.542159,0.068136,0.862748,0.455327,0.058975,0.381525,0.347853,0.333233,0.297856,0.765183,0.062201,0,0.747003,0.671495,0.005439,1
0.943098,0.759155,0.47605,0.834689,0.092569,0.161082,0.828699,0.21509,0.391724,0.649802,0.818031,0.015658,0.394109,0.622022,0.067604,0.593514,0.555821,0.102612,1
0.403652,0.624198,0.352113,0.692979,0.214326,0.816831,0.435764,0.220343,0.575081,0.255469,0.545396,0.360068,0.051404,0.920695,0.677206,0.830931,0.29939,0.121531,1
0.122613,0.604394,0.492254,0.115674,0.403728,0.592959,0.656469,0.182341,0.655619,0.558351,0.600486,0.03386,0.747472,0.052863,0.951871,0.744179,0.386653,0.78474,1
0.809911,0.251109,0.554488,0.054762,0.569481,0.053567,0.474159,0.043926,0.152285,0.217151,0.356741,0.383044,0.215221,0.717142,0.324419,0.714947,0.461236,0.522179,1
0.932504,0.534225,0.071377,0.508257,0.79802,0.857324,0.532825,0.50002,0.867844,0.51405,0.500546,0.410647,0.54986,0.115714,0.901999,0.274168,0.644693,0.03855,1
0.319968,0.499817,0.542945,0.579451,0.940068,0.187714,0.643025,0.101654,0.610796,0.379836,0.878105,0.682851,0.931461,0.988415,0.135823,0.127658,0.648466,0.384503,1
0.675988,0.905763,0.967108,0.765222,0.633914,0.761368,0.213448,0.255502,0.666007,0.36726,0.74784,0.937007,0.959203,0.418924,0.987823,0.958261,0.485332,0.206337,0
0.132643,0.962659,0.515105,0.821089,0.288338,0.530223,0.796602,0.845158,0.034115,0.463331,0.776236,0.776739,0.123358,0.73973,0.88461,0.202865,0.032088,0.68889,1
0.366147,0.160722,0.559682,0.889862,0.334719,0.089739,0.464333,0.653626,0.541261,0.474776,0.373305,0.710902,0.614082,0.884552,0.876302,0.550462,0.166398,0.537829,1
0.115522,0.761659,0.343926,0.77841,0.157902,0.666445,0.574802,0.044471,0.77565,0.496833,0.394344,0.066889,0.056687,0.150945,0.614086,0.271753,0.059806,0.595362,1
0.862773,0.390181,0.59983,0.855796,0.77208,0.060444,0.302725,0.720186,0.489927,0.604195,0.530767,0.058835,0.607461,0.207119,0.962065,0.793836,0.190443,0.843833,1
0.728765,0.783769,0.96158,0.053234,0.422252,0.189716,0.768271,0.899319,0.942613,0.695955,0.013842,0.850486,0.268905,0.315683,0.36523,0.734239,0.44606,0.002923,0
0.892812,0.834937,0.73336,0.374701,0.720797,0.941962,0.221153,0.861692,0.868797,0.83072,0.989824,0.576043,0.44231,0.324131,0.008378,0.950048,0.845626,0.639419,1
0.347212,0.021217,0.66639,0.969257,0.377993,0.337019,0.821617,0.912956,0.790502,0.827243,0.49224,0.567781,0.63556,0.067081,0.514137,0.319568,0.430189,0.304765,1
0.466714,0.926587,0.605109,0.303392,0.5862,0.542995,0.895422,0.974506,0.247861,0.776716,0.487293,0.366779,0.093374,0.440366,0.355943,0.696606,0.890369,0.180193,1
0.602632,0.822887,0.916041,0.263571,0.026285,0.692955,0.972734,0.67316,0.725226,0.738514,0.514662,0.244093,0.037485,0.256268,0.818105,0.668712,0.074033,0.467105,1
0.634937,0.581528,0.052574,0.293216,0.299096,0.535523,0.152702,0.63922,0.557482,0.534328,0.269976,0.75628,0.935756,0.709333,0.589307,0.804384,0.424089,0.256637,1
0.685283,0.467627,0.710426,0.966553,0.67423,0.130963,0.708222,0.619887,0.524231,0.224352,0.016459,0.237066,0.684897,0.314065,0.249676,0.045899,0.745197,0.763354,1
0.897058,0.194221,0.461628,0.710114,0.881044,0.32376,0.296909,0.949052,0.988525,0.164216,0.67727,0.199415,0.076427,0.122026,0.756601,0.220502,0.327968,0.556397,1
0.136947,0.451016,0.629714,0.23887,0.991199,0.357474,0.310393,0.595547,0.213784,0.686062,0.68986,0.720971,0.172493,0.363332,0.428398,0.919421,0.751163,0.157533,1
0.965417,0.868091,0.437047,0.068351,0.144293,0.199468,0.700552,0.366771,0.96728,0.126237,0.686935,0.97368,0.024738,0.342556,0.099171,0.2071,0.000246,0.949437,0
0.440616,0.285655,0.751686,0.883727,0.925624,0.779267,0.978799,0.304733,0.204226,0.712033,0.007357,0.200887,0.085862,0.487844,0.932971,0.727059,0.855764,0.071565,1
0.224332,1,0.6617,0.797249,0.201187,0.647545,0.557201,0.474173,0.013918,0.058131,0.167345,0.554315,0.265553,0.181497,0.277302,0.655797,0.529931,0.294259,1
0.258808,0.718428,0.237488,0.255965,0.290189,0.279497,0.383795,0.064953,0.886167,0.429781,0.723341,0.523589,0.69336,0.577629,0.751304,0.811244,0.930675,0.054478,1
0.522434,0.560788,0.047279,0.810702,0.931896,0.788911,0.064716,0.731042,0.783587,0.200933,0.27882,0.372514,0.412903,0.646513,0.679472,0.90237,0.804432,0.024923,1
0.616808,0.741979,0.782759,0.031584,0.239346,0.149769,0.402923,0.939182,0.060205,0.032147,0.633642,0.31929,0.995376,0.407343,0.38573,0.555554,0.455744,0.250366,0
0.108568,0.806004,0.388046,0.251046,0.3927,0.088378,0.3372,0.017355,0.600863,0.5393,0.075839,0.350736,0.903875,0.13367,0.25651,0.430947,0.886774,0.943618,1
0.467182,0.447116,0.566042,0.361174,0.652407,0.803834,0.750304,0.956541,0.534239,0.875709,0.444018,0.128125,0.909754,0.35722,0.896157,0.75738,0.764724,0.778842,1
0.663435,0.265552,0.104169,0.924151,0.232244,0.120111,0.017719,0.367571,0.939368,0.594521,0.593093,0.418611,0.331284,0.480405,0.194211,0.764883,0.219907,0.233294,1
0.165931,0.279214,0.067835,0.735522,0.53429,0.013438,0.141818,0.579406,0.897463,0.865536,0.550407,0.505948,0.753454,0.33301,0.768073,0.107596,0.602816,0.903384,1
0.543046,0.21581,0.269939,0.6107,0.321679,0.573198,0.208719,0.147171,0.952055,0.018066,0.364966,0.213008,0.326024,0.381377,0.124781,1,0.727233,0.81486,1
0.310317,0.551143,0.330015,0.701041,0.451207,0.000742,0.513619,0.247351,0.083558,0.293213,0.981781,0.857341,0.221382,0.572468,0.21738,0.503345,0.336804,0.550369,1
0.554492,0.640384,0.178539,0.94591,0.966427,0.910538,0.285372,0.137171,0.933625,0.449824,0.931274,0.268417,0.717867,0.768753,0.776706,0.971997,0.591914,0.852577,1
0.060131,0.031649,0.274191,0.335486,0.058652,0.878365,0.699176,0.404842,0.862241,0.154931,0.888771,0.210009,0.576093,0.651601,0.209775,0.577756,0.653197,0.191164,1
0.837787,0.348369,0.138348,0.912604,0.724402,0.43718,0.442227,0.893573,0.274286,0.572391,0.569427,0.594144,0.681982,0.519322,0.072449,0.120181,0.51656,0.660154,1
0.271335,0.653216,0.994521,0.781223,0.462768,0.225939,0.569462,0.524092,0.221238,0.150284,0.459689,0.189056,0.674586,0.107334,0.534846,0.711823,0.832,0.898477,1
0.023536,0.78903,0.39271,0.863854,0.81608,0.632709,0.468146,0.529215,0.982255,0.649058,0.384112,0.175073,0.344233,0.700752,0.30168,0.941792,0.316485,0.70193,1
0.273733,0.608261,0.167591,0.677292,0.012882,0.821443,0.53996,0.494057,0.178257,0.611613,0.465334,0.90421,0.632672,0.096843,0.542808,0.163314,0.816885,0.712079,1
0.498633,0.517978,0.014706,0.037523,0.804054,0.7438,0.905463,0.037848,0.269317,0.661279,0.141611,0.806014,0.478745,0.980094,0.728062,0.34803,0.989537,0.447947,1
0.288282,0.944545,0.798723,0.805348,0.633055,0.220815,0.423875,0.564299,0.798965,0.101933,0.85374,0.986337,0.06565,0.394973,0.693077,0.188142,0.906218,0.350024,1
0.90743,0.846319,0.032804,0.382621,0.646013,0.935434,0.035707,0.55032,0.215856,0.923282,0.353067,0.830274,0.867183,0.081796,0.36728,0.538187,0.087436,0.272206,0
0.791309,0.094811,0.376082,0.322851,0.271306,0.918344,0.092511,0.673118,0.913504,0.320568,0.236465,0.403221,0.620819,0.500915,0.999326,0.16053,0.264873,0.478692,1
0.644632,0.970114,0.816835,0.561652,0.778738,0.455389,0.918972,0.811074,0.253004,0.418335,0.780856,0.014166,0.432558,0.772095,0.522115,0.076594,0.172803,0.847612,1
0.244002,0.175833,0.291479,0.39731,0.493754,0.314417,0.853831,0.505587,0.770507,0.869938,0.955412,0.816031,0.334473,0.504464,0.380743,0.702648,0.342887,0.70919,1
0.805749,0.068255,0.313769,0.135862,0.02911,0.378547,0.887565,0.164777,0.431865,0.06716,0.891449,0.431881,0.077634,0.732829,0.493054,0.567864,0.046875,0.32012,1
0.671993,0.730552,0.951484,0.273316,0.822079,0.993286,0.041534,0.115011,0.166119,0.007524,0.823777,0.533494,0.604459,0.074117,0.240492,0.438838,0.866687,0.108822,1
0.579695,0.509823,0.22134,0.555904,0.689494,0.076239,0.24589,0.26531,0.895668,0.543872,0.510534,0.126775,0.667739,0.943944,0.607043,0.991835,0.188151,0.907501,1
0.978085,0.597151,0.308799,0.985781,0.279176,0.902869,0.759868,0.205021,0.564529,0.755339,0.86239,0.704425,0.555339,0.326309,0.829798,0.054295,0.978383,0.5048,0
0.473262,0.98032,0.255909,0.010027,0.553396,0.556141,0.58183,0.923908,0.467881,0.768424,0.913506,0.183209,0.841219,0.284067,0.907719,0.462552,0.635558,0.020824,0
0.508285,0.568798,0.009836,0.3512,0.896603,0.684294,0.999526,0.438872,0.298985,0.336912,0.179476,0.228638,0.188112,0.843975,0.390647,0.283275,0.500324,0.30693,1
0.483067,0.918884,0.570522,0.466149,0.112091,0.929051,0.254184,0.125194,0.426154,0.995863,0.027667,0.300467,0.010072,0.605745,0.697007,0.445617,0.521519,0.73231,1
0.550199,0.989757,0.381466,0.602041,0.130587,0.209064,0.809842,0.930171,0.690925,0.667606,0.20452,0.626098,0.045712,0.542044,0.10328,0.612524,0.703598,0.372298,1
0.630281,0.007094,0.580346,0.755316,0.324683,0.365563,0.089699,0.697416,0.071481,0.816192,0.844042,0.57966,0.098916,0.811992,0.858902,0.606123,0.527659,0.380359,1
0.693491,0.056598,0.697292,0.474198,0.869,0.812223,0.890769,0.986404,0.349967,0.434005,0.13114,0.13957,0.71185,0.110396,0.633588,0.443046,0.966106,0.950988,1
0.918488,0.311869,0.62088,0.386738,0.443375,0.896214,0.498604,0.555461,0.163776,0.912181,0.409108,0.56378,0.321437,0.47522,0.084385,0.48707,0.067104,0.863872,1
0.97057,0.691643,0.526384,0.080739,0.104017,0.791566,0.805402,0.631945,0.597518,0.290688,0.413026,0.655558,0.875094,0.076448,0.570693,0.640863,0.678407,0.99138,0
0.000841,0.936884,0.770678,0.794059,0.35301,0.669204,0.816169,0.965612,0.71233,0.583523,0.164954,0.810976,0.287386,0.99205,0.8906,0.531135,0.898831,0.880551,1
0.768338,0.863427,0.094924,0.093859,0.510953,0.20396,0.789615,0.795151,0.117297,0.944486,0.259287,0.275085,0.773236,0.746384,0.408045,0.940379,0.179043,0.775505,0
0.843083,0.124664,0.589867,0.644388,0.712442,0.546912,0.359889,0.375396,0.627664,0.259848,0.145642,0.292832,0.19381,0.956477,0.065926,0.38794,0.358593,0.203319,1
0.382044,0.952773,0.091294,0.92604,0.198312,0.6429,0.113366,0.87711,0.632877,0.44655,0.753618,0.259732,0.563844,0.619,0.036752,0.72186,0.758313,0.431846,1
0.979609,0.139899,0.953147,0.088514,0.016047,0.257122,0.003249,0.296839,0.740197,0.975829,0.472032,0.13283,0.469566,0.089122,0.487964,0.404966,0.834329,0.858694,1
0.950792,0.267966,0.278185,0.626994,0.860452,0.7146,0.235491,0.848301,0.002107,0.358404,0.273088,0.651061,0.107485,0.90127,0.165984,0.586508,0.624649,0.441304,1
0.559917,0.210712,0.694921,0.149388,0.12592,0.162612,0.251062,0.814043,0.928017,0.901659,0.61372,0.265543,0.407542,0.726647,0.871154,0.230835,0.662626,0.176538,1
0.085722,0.076075,0.057884,0.436249,0.331285,0.773833,0.67146,0.293575,0.04827,0.642792,0.174522,0.838689,0.395754,0.560449,0.279533,0.63338,0.195623,0.999165,1
0.586177,0.532671,0.74566,0.947916,0.410695,0.656735,0.517686,0.052394,0.201442,0.132586,0.868653,0.52078,0.973739,0.460924,0.355155,0.411531,0.080258,0.398063,1
0.008237,0.431943,1,0.108665,0.671436,0.170902,0.204235,0.70404,0.611655,0.632225,0.948342,0.670207,0.922336,0.26908,0.047602,0.828307,0.73826,0.733602,1
0.049046,0.047496,0.760254,0.665408,0.774686,0.866392,0.595573,0.8807,0.588206,0.211364,0.309429,0.589047,0.673092,0.436597,0.082404,0.880479,0.106571,0.085348,1
0.076153,0.711244,0.88519,0.121547,0.906154,0.236506,0.364506,0.782696,0.343415,0.817362,0.712602,0.549746,0.853112,0.305184,0.204989,0.6472,0.883874,0.752443,1
0.290532,0.465612,0.213821,0.45059,0.524518,0.397091,0.328189,0.862776,0.826247,0.312128,0.902887,0.493879,0.801101,0.219313,0.958394,0.846619,0.419119,0.585386,1
0.069109,0.115858,0.192259,0.192141,0.11946,0.574467,0.320589,0.706838,0.809256,0.699725,0.845858,0.535066,0.462604,0.628468,0.508474,0.626237,0.289623,0.664798,1
0.375881,0.378528,0.41454,0.902579,0.703666,0.41318,0.488112,0.12954,0.317636,0.933506,0.718622,0.17086,0.8109,0.261284,0.913348,0.544424,0.939934,0.312021,1
0.915707,0.890834,0.810617,0.762172,0.688474,0.263262,0.449738,0.287995,0.621698,0.269729,0.761062,0.735579,0.791649,0.165637,0.333679,0.674924,0.239009,0.078158,0
0.335991,0.855365,0.721559,0.128878,0.307146,0.287456,0.52251,0.510381,0.312054,0.919055,0.089015,0.025084,0.857674,0.793043,0.059197,0.816554,0.167848,0.371569,1
0.524356,0.015579,0.924449,0.729032,0.594903,0.706354,0.92572,0.170799,0.649662,0,0.69656,0.919206,0.1804,0.054419,0.573118,0.73754,0.259865,0.967046,1
0.563588,0.712195,0.585253,0.003536,0.950504,0.781741,0.124265,0.349025,0.26123,0.34181,0.217673,0.038023,0.515987,0.371167,0.120471,0.173965,0.362258,0.749166,1
0.430435,0.254469,0.764107,0.20739,0.960372,0.467221,0.273277,0.173154,0.578427,0.023821,0.432016,0.250232,0.650779,0.805115,0.419431,0.241838,0.616869,0.830885,1
0.324644,0.809389,0.43901,0.044745,0.573796,0.276082,0.020693,0.788905,0.806801,0.362613,0.794059,0.153599,0.504039,0.755721,0.586121,0.659426,0.235528,0.960423,1
0.868908,0.910275,0.774837,0.703655,0.340041,0.135917,0.070171,0.334601,0.075538,0.192999,0.041505,0.760133,0.518059,0.676943,0.740201,0.975352,0.579443,0.494986,0
0.903005,0.395503,0.223845,0.142412,0.706983,0.254526,0.993384,0.25859,0.952572,0.052568,0.222434,0.508259,0.87994,0.391113,0.850045,0.424948,0.390801,0.269987,1
0.991543,0.611835,0.201833,0.230419,0.048329,0.173651,0.332033,0.919981,0.435215,0.010154,0.642106,0.540098,0.625784,0.276948,0.687523,0.029163,0.95718,0.592857,0
0.705211,0.828907,0.454769,0.234868,0.753342,0.099995,0.200063,0.512117,0.409899,0.569981,0.965142,0.278,0.535271,0.671511,0.862758,0.009306,0.714361,0.245783,1
0.750168,0.22619,0,0.070627,0.499998,0.141003,0.669242,1,0.02723,0.96094,0.471997,0.874952,0.233069,0.272597,0.267546,0.50831,0.4676,0.935,1
0.782414,0.362466,0.117975,0.670756,0.163426,0.424321,0.650906,0.542937,0.113623,0.122522,0.318586,0.768267,0.486171,0.689839,0.294564,0.688239,0.274873,0.575103,1
0.098006,0.915098,0.840809,0.277044,0.049882,0.122809,0.07663,0.585982,0.38686,0.47952,0.895521,0.466797,0.447119,0.137753,0.320132,0.310917,0.228991,0.454281,1
0.247806,0.248484,0.642969,0.512299,0.532081,0.585888,0.302441,0.308654,0.908757,0.302953,0.499738,0.082125,0.659198,0.835811,0.152209,0.337115,0.811424,0.041018,1
0.179168,0.403424,0.416815,0.598373,0.906454,0.753254,0.865888,0.186371,0.107789,0.371216,0.701739,0.746226,0.272138,0.030409,0.827841,0.261536,0.322483,0.920378,1
0.371734,0.304169,0.609132,0.403188,0.182324,0.959569,0.929713,0.222695,0.847025,0.777851,0.056653,0.048795,0.990275,0.782689,0.285477,0.101778,0.302488,0.229192,1
0.75938,0.752981,0.084532,0.929992,0.730246,0.69738,0.630057,0.53486,0.401324,0.321264,0.450517,0.155452,0.737201,0.68768,0.187931,0.798323,0.660934,0.916581,1
0.938042,0.525512,0.184703,0.75039,0.851258,0.393859,0.158229,0.826228,0.068448,0.079666,0.284148,0.001251,0.135517,0.844742,0.192045,0.302735,0.158305,0.490391,1
0.818269,0.680762,0.32003,0.467787,0.346453,0.233098,0.288594,0.190293,0.571279,0.621991,0.252284,0.362696,0.154723,0.892234,0.470195,0.583694,0.349911,0.699195,1
0.456925,0.322146,0.675044,0.341418,0.662329,0.501505,0.602187,0.624922,0.477765,0.803219,0.995315,0.331889,0.128087,0.797321,0.813025,0.461119,0.607849,0.629603,1
0.946632,0.192729,0.394991,0.559819,0.640935,0.88319,0.858367,0.457912,0.962183,0.518011,0.814557,0.495472,0.775634,0.876741,0.181674,0.761668,0.478842,0.583121,1
0.926059,0.337722,0.787869,0.870823,0.876497,0.869205,0.04674,0.822395,0.498874,0.308608,0.561659,0.952712,0.165591,0.366288,0.558559,0.681468,0.019854,0.465333,1
0.445306,0.991602,0.819269,0.587967,0.541271,0.433233,0.135636,0.381561,0.875475,0.38846,0.632459,0.11541,0.403415,0.866827,0.879333,0.154962,0.124189,0.568358,1
0.081382,0.799893,0.49954,0.311328,0.30438,0.922526,0.479355,0.462415,0.455367,0.991821,0.710667,0.619596,0.451587,0.232959,0.168365,0.135245,0.374618,0.333822,1
0.233099,0.087793,0.921599,0.959096,0.487992,0.498975,0.106481,0.603152,0.548386,0.891037,0.53541,0.39902,0.838897,0.19508,0.662148,0.02455,0.093921,0.112902,1
0.699001,0.75006,0.1341,0.898669,0.368331,0.604699,0.505559,0.776869,0.672304,0.633983,0.305172,0.790471,0.942468,0.240822,0.994113,0.526249,0.063814,0.76947,0
0.206984,0.565338,0.017885,0.57155,0.683352,0.408769,0.766033,0.441593,0.190992,0.249616,0.623407,0.674716,0.55937,0.449354,0.837912,0.398223,0.842293,0.094855,1
0.830585,0.177385,0.713129,0.592943,0.413517,0.764437,0.625639,0.7534,0.681783,0.793864,0.199547,0.924455,0.830826,0.228488,0.49887,0.522781,0.952552,0.055893,1
0.575125,0.72299,0.980972,0.878046,0,0.317809,0.776794,0.237717,0.880833,0.403999,0.859808,0.085717,0.569123,0.949458,0.244955,0.017422,0.473242,0.342191,1
0.143479,0.573227,0.654822,0.630066,0.757179,0.842904,0.349204,0.611221,0.837541,0.169033,0.957235,0.459131,0.11994,0.816881,0.785634,0.917628,0.214855,0.527416,1
0.850498,0.584353,0.160391,0.825229,0.365084,0.520518,0.949976,0.083792,0.522029,0.731138,0.57774,0.862558,0.346663,0.655123,0.671575,0.483681,0.511205,0.625385,1
0.621434,0.648149,0.723784,0.211585,0.154897,0.636845,0.839403,0.983625,0.764808,0.692379,0.383034,0.423772,0.438634,0.586898,0.747466,0.471276,0.67664,0.162955,1
0.512158,0.671641,0.538545,0.268039,0.262144,0.309913,0.723889,0.354544,0.483832,0.425214,0.446556,1,0.35583,0.952715,0.598057,0.213892,0.948804,0.456678,1
0.649745,0.166222,0.128557,0.407959,0.065433,0.661642,0.741745,0.407248,0.551815,0.784039,0.788177,0.341649,0.039962,0.532657,0.459886,0.964566,0.86959,0.673807,1
0.751674,0.053427,0.877443,0.029864,0.954666,0.115285,0.355752,0.856449,0.23183,0.93889,0.75987,0.606438,0.241925,0.49414,0.783014,0.780011,0.144007,0.012994,1
0.423655,0.408191,0.850881,0.489299,0.03314,0.2412,0.346853,0.796394,0.138462,0.03763,0.808211,0.930938,0.304858,0.90968,0.796393,0.33182,0.92018,0.505622,1
